object_id,object_type,portfolio_view,collective_view,spaceport_view,newsroom_view,deck_view,next_action
drop-flow,work,portfolio/visual-arts/drop-flow-series/README.md,VIRTURA-Collective/repo/works/drop-flow/README.md,VIRTURA-SpacePort/organization/works/drop-flow-series/README.md,VIRTURA-Newsroom/essays/from-archive-library-to-cultural-gene-node-network.md,VIRTURA_Collective_Overview_2026 baked2.pdf#page=12,wave-1 cross-links in place; next add metadata parity
timer,work,portfolio/visual-arts/timer-series/README.md,VIRTURA-Collective/repo/works/timer/README.md,VIRTURA-SpacePort/organization/works/timer.md,VIRTURA-Newsroom/art-review/articles/system_ewanqian_perceptual_migration_review.md,VIRTURA_Collective_Overview_2026 baked2.pdf#page=11,wave-1 cross-links in place; next add metadata parity
observation-and-symbiosis,work,portfolio/visual-arts/perceptual-environments/README.md,VIRTURA-Collective/repo/works/observation-and-symbiosis/README.md,VIRTURA-SpacePort/organization/works/观察与共生 Observation and Symbiosis.md,,,add Newsroom recap or MOVA exhibition link when public
kashiwa-titan,work,portfolio/projects/kashiwa-titan-visual-2025.md,,,,"VIRTURA_Collective_Overview_2026 baked2.pdf#page=10",do not create Collective page; keep portfolio/deck/external context only
control-uptime-protocol,work,,VIRTURA-Collective/repo/works/control-uptime-protocol/README.md,,VIRTURA-Newsroom/art-review/articles/virtura_article_curatorial_v4.md,VIRTURA_Collective_Overview_2026 baked2.pdf#page=7,deck OCR/source notes/credits and prototype page recorded; next confirm final artist statement
desire-machining-center,work,,VIRTURA-Collective/repo/works/desire-machining-center/README.md,,VIRTURA-Newsroom/art-review/articles/virtura_article_curatorial_v4.md,VIRTURA_Collective_Overview_2026 baked2.pdf#page=8,deck OCR/source notes/credits and prototype page recorded; next confirm final artist statement
mova,station,,VIRTURA-Collective/repo/activities/README.md,VIRTURA-SpacePort/stations/mova/README.md,VIRTURA-Newsroom/essays/skill-based-workflow-virtura-2026.md,,wave-1 links in place; add current exhibition route when public
research-laboratory,station,,VIRTURA-Collective/repo/research/README.md,VIRTURA-SpacePort/stations/research-laboratory/README.md,VIRTURA-Newsroom/creator-shares/research-laboratory-ai-live-performance-launch.md,,wave-1 links in place
balloon-live-space,station,,VIRTURA-Collective/repo/activities/README.md,VIRTURA-SpacePort/stations/balloon-live-space/README.md,VIRTURA-Newsroom/project-recaps/balloon-live-space-alpha-beta-report.md,,wave-1 links in place; keep Balloon spelling as current public slug
digital-library-stage,station,,,VIRTURA-SpacePort/stations/digital-library-stage/README.md,VIRTURA-Newsroom/essays/why-digital-library-and-digital-stage.md,,canonical explanation route for public graph
